image_name,image_path,retrieved_captions,retrieved_scores,raw_rag,answer_rag,raw_no_rag,answer_no_rag
356478206.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/356478206.jpg,"[' A girl dressed all in pink is jumping up in the air with her arms spread wide at a bowling alley .', ' This woman is taking her turn during a bowling match .', ' A young woman celebrates a victory by knocking down all the pins at the bowling alley .', ' A woman is bowling barefoot as 2 people in the background head toward the video games .', ' A female is bowling in jeans and a t-shirt .']","[0.444330096244812, 0.35605502128601074, 0.3536851406097412, 0.349129319190979, 0.3387638032436371]",A girl dressed all in pink is jumping up in the air with her arms spread wide at a bowling alley,A girl dressed all in pink is jumping up in the air with her arms spread wide at a bowling alley,A girl in a pink shirt and pants is bowling.,A girl in a pink shirt and pants is bowling.
370614351.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/370614351.jpg,"[' A guy in a costume .', ' The man with the eccentric clothing and hair poses in a store .', ' Native Americans in decorative dress appear to be celebrating for a cause .', ' A man in his native dress standing in the street .', ' One man in his 60s holding a staff while wearing ethnic clothing .']","[0.3229619860649109, 0.3196526765823364, 0.3192947804927826, 0.31446394324302673, 0.3140149414539337]",A man in a Native American costume poses in a store.,A man in a Native American costume poses in a store.,A man in a kilt is standing in a store holding a box of cereal.,A man in a kilt is standing in a store holding a box of cereal.
85519095.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/85519095.jpg,"[' A young boy in a blue jacket swings a bat at a ball .', ' A boy hits the ball at a baseball game .', ' The little boy lifts his leg and swings the bat in an attempt to hit the ball .', ' A boy wearing a cubs uniform winds up to hit a ball on a tee .', ' A young person pitches in a baseball game .']","[0.32284998893737793, 0.322177529335022, 0.32085120677948, 0.31788957118988037, 0.3168056309223175]",A young boy in a blue jacket swings a bat at a ball.,A young boy in a blue jacket swings a bat at a ball.,A young boy in a blue shirt and grey pants is swinging a baseball bat at a ball.,A young boy in a blue shirt and grey pants is swinging a baseball bat at a ball.
2708775214.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2708775214.jpg,"[' a young boy pretending to play with an ice sculpture gun', ' A man is holding a large gun .', ' A young man wearing a black shirt is posing for a picture in a museum .', ' Young boy hitting a rock with a hammer .', ' A small child is giving heavy metal signs']","[0.30626925826072693, 0.28868016600608826, 0.2882184386253357, 0.28793594241142273, 0.2856554388999939]",A young boy is holding a gun and pretending to play with it.,A young boy is holding a gun and pretending to play with it.,A young man with red hair is smiling and pointing at a large iron trap door in a stone wall.,A young man with red hair is smiling and pointing at a large iron trap door in a stone wall.
3565917449.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3565917449.jpg,"[' Asian man in suit rides his bike on up the street .', ' A man is riding a bicycle in the street .', ' A man is riding a bicycle .', ' A man sitting on a bicycle .', ' A man in a gray jacket is pushing a cart down the road past a bicycle .']","[0.3453916311264038, 0.33914715051651, 0.33450669050216675, 0.3343336880207062, 0.32994791865348816]",A man in a gray jacket is riding a bicycle on a street.,A man in a gray jacket is riding a bicycle on a street.,A man riding a bike on a street with a man walking in the background.,A man riding a bike on a street with a man walking in the background.
311380477.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/311380477.jpg,"[' A young man hard at work , sweeping the floor .', ' A man in a green shirt and black hat is smoothing concrete .', ' A young androgynous child mops the floor in a holy building .', ' A dirt floor gets swept by one white and one black woman .', ' A gentleman in black boots sweeping the ground outside .']","[0.3498140573501587, 0.3193214237689972, 0.31272634863853455, 0.31089353561401367, 0.3066578507423401]",A young man in a black shirt and black pants is sweeping a concrete floor with a broom.,A young man in a black shirt and black pants is sweeping a concrete floor with a broom.,A man sweeps a concrete floor with a broom.,A man sweeps a concrete floor with a broom.
56012054.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/56012054.jpg,"[' Woman cooking pot of stew .', ' A woman in her backyard taking something out of a pot .', ' A woman is looking into a trashcan outside of the Mango Mang .', ' Villager pouring water into cooking pot .', ' A woman in a hut cooking looking outside .']","[0.3265567421913147, 0.32347097992897034, 0.32342034578323364, 0.3191133141517639, 0.3144143223762512]","A woman in a brown shirt is crouched down next to a pot, looking inside it.","A woman in a brown shirt is crouched down next to a pot, looking inside it.",A woman is crouched down next to a metal container in a field.,A woman is crouched down next to a metal container in a field.
7411114322.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7411114322.jpg,"[' Rugby man avoiding other man while scoring', ' One rugby player trying to catch the player with the ball .', ' A rugby player wearing a white and red jersey is running the ball and is currently being tackled by an opposing player wearing a blue jersey .', ' team blue and team red playing football', ' A man from one football team trying to dodge a tackle from a player from the opposing football team .']","[0.29127854108810425, 0.2793749272823334, 0.2762126922607422, 0.2724541127681732, 0.27011439204216003]",A man from one football team trying to dodge a tackle from a player from the opposing football team.,A man from one football team trying to dodge a tackle from a player from the opposing football team.,Two men playing rugby on a field with a crowd watching.,Two men playing rugby on a field with a crowd watching.
4623878206.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4623878206.jpg,"[' A woman in a long green shirt , a yellow backpack , and a bottle of water is walking across a street as a couple follows close behind .', ' A runner with a turtle backpack looking exhausted at a street race .', ' A dark-haired woman wearing a green dress and carrying a yellow backpack crossing a street .', ' A woman with a yellow backpack , tattoos , and a bottle of water walks on the street .', ' Runner number 281 is being clapped on by a passerby .']","[0.3958188593387604, 0.3875761032104492, 0.38184165954589844, 0.3626534044742584, 0.3331865072250366]","A woman with a yellow backpack, tattoos, and a bottle of water walks on the street.","A woman with a yellow backpack, tattoos, and a bottle of water walks on the street.",A man with a yellow backpack is walking across a street.,A man with a yellow backpack is walking across a street.
2063399864.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2063399864.jpg,"[' Two young children and an adult are fishing on the shoreline near large rocks .', ' A man wearing a white shirt and black pants with a white hat on watching seagulls on the sand with two children , both wearing hats and one wearing a red shirt and one wearing a sundress .', ' Kids play on rocks lining the coastline of a location with a nearby ferry .', ' Three young boys on a beach in swimsuits - two standing facing the water and one sitting on a rock - are in a rocky area with yellow wildflowers in the foreground while in the background many people recreate on a sandy shore .', "" An adult wearing a black shirt and tan pants is standing at the water 's edge with two children .""]","[0.3612689673900604, 0.3490315079689026, 0.3425008952617645, 0.3324708938598633, 0.3316360414028168]",Two young children and an adult are fishing on the shoreline near large rocks.,Two young children and an adult are fishing on the shoreline near large rocks.,A family of three stand on a rocky beach by the ocean.,A family of three stand on a rocky beach by the ocean.
4327514739.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4327514739.jpg,"[' a toddler in a white sweatshirt is getting ready to grab the pole .', ' A blond little boy , wearing a robe and playing with a sword .', ' A baby holding onto a handle .', ' A young boy in a sweatshirt plays with a balloon .', ' A little boy holds fire sprinklers out in front of him .']","[0.35123884677886963, 0.319091796875, 0.3162543475627899, 0.3119330108165741, 0.309317409992218]",A toddler in a white sweatshirt is getting ready to grab the pole.,A toddler in a white sweatshirt is getting ready to grab the pole.,A toddler in a white and red jacket is reaching for something on a grey door.,A toddler in a white and red jacket is reaching for something on a grey door.
3214333978.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3214333978.jpg,"[' People walking in a race on a cold day .', ' A trio of people are hiking throughout a heavily snowed path .', ' A group of people are running in the cold .', ' Walking home on a cold winters day .', ' Three men in cold-weather styled clothing walking down a road .']","[0.3327390253543854, 0.3293262720108032, 0.32877427339553833, 0.32743215560913086, 0.32695257663726807]",Three people are walking down a snowy road.,Three people are walking down a snowy road.,Four people are walking down a snowy road.,Four people are walking down a snowy road.
2359100647.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2359100647.jpg,"[' A woman in a floral pattern dress is operating a loom .', ' A woman sitting in a hut .', ' A woman in a green dress weaving cloth .', ' A woman in a headscarf is weaving a rug on a hand loom .', ' A young androgynous child mops the floor in a holy building .']","[0.3330308198928833, 0.3138885200023651, 0.31150513887405396, 0.3039214611053467, 0.30150023102760315]",A woman in a headscarf is weaving a rug on a hand loom.,A woman in a headscarf is weaving a rug on a hand loom.,A woman in a green floral dress and pink headscarf is sitting on a wooden bench in a room with,A woman in a green floral dress and pink headscarf is sitting on a wooden bench in a room with
3668900592.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3668900592.jpg,"[' A brown-haired man in a black , yellow , and blue wetsuit is surfing .', ' Surfer demonstrates ability to navigate waves with ease .', ' A man in a wetsuit is surfing up and over a wave .', ' a man in a wetsuit is surfing', ' A young child wearing a yellow wetsuit rides on a surfboard .']","[0.35216546058654785, 0.3307017683982849, 0.3222382962703705, 0.32016751170158386, 0.3165414035320282]",A man in a yellow wetsuit is surfing on a wave.,A man in a yellow wetsuit is surfing on a wave.,A man in a yellow shirt and black wetsuit surfs a wave.,A man in a yellow shirt and black wetsuit surfs a wave.
2542299880.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2542299880.jpg,"[' A man in a beige shirt installing communications equipment .', ' A person uses a pair of pliers to perform a task on an electronic item .', ' A man crouching down , attempting to use a machine of some sort .', ' This man is working with an I-pad .', ' A man in a safety vest is kneeling down and working on a train .']","[0.3196581304073334, 0.31381726264953613, 0.3098882734775543, 0.3094766139984131, 0.30922263860702515]",A man in an orange safety vest is working on a train.,A man in an orange safety vest is working on a train.,A man in an orange jumpsuit is working on a machine.,A man in an orange jumpsuit is working on a machine.
513831663.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/513831663.jpg,"[' A girl with blond-hair is jumping off a tire swing', ' A woman jumping on a trampoline in front of a field .', ' A small girl wearing a green shirt jumping off a grassy , sandy hill with a black scarf in her hand .', ' a young woman is jumping on a trampoline', ' A girl with long , red-hair wearing navy , blue sweatpants and a hooded sweatshirt is rock climbing .']","[0.3299879729747772, 0.32347697019577026, 0.304483026266098, 0.304185152053833, 0.3001513183116913]","A girl with long, red hair wearing navy blue sweatpants and a hooded sweatshirt","A girl with long, red hair wearing navy blue sweatpants and a hooded sweatshirt",Two girls playing outside with a black tarp and a wooden cross in the background.,Two girls playing outside with a black tarp and a wooden cross in the background.
365504466.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/365504466.jpg,"[' A young boy in a long-sleeved sweatshirt is standing in front of a red tractor , on the grass .', ' A boy in a red shirt holds a toy green tractor while standing out in a yard .', ' A young man operating a tractor .', ' A man looks mysterious in a blue shirt and a red truck for a company called Wilbert .', ' Person with a pageboy hat , plaid shirt , and jeans , holding a large lump of plant life , standing near a wagon full of the same plant life that they are holding .']","[0.34246572852134705, 0.28750723600387573, 0.2856789529323578, 0.28404995799064636, 0.28250136971473694]","A young boy in a long-sleeved sweatshirt is standing in front of a red tractor , on","A young boy in a long-sleeved sweatshirt is standing in front of a red tractor , on",A boy stands in front of a combine harvester and a trailer.,A boy stands in front of a combine harvester and a trailer.
7345543488.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7345543488.jpg,"[' A young performer on stage with a buttoned up shirt and vintage-style sunglasses sings his song .', ' A girl in a white jacket is smiling while she holds a microphone .', ' An artist sings into the microphone at a venue .', ' Girl wearing white shirt sings on stage while playing guitar', ' A singer on a stage with a white shirt .']","[0.30952563881874084, 0.30116456747055054, 0.29959961771965027, 0.298554927110672, 0.2977984845638275]",A singer on a stage with a white shirt.,A singer on a stage with a white shirt.,A woman singing into a microphone in a dark room with a green light in the background.,A woman singing into a microphone in a dark room with a green light in the background.
4860806028.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4860806028.jpg,"[' A man is sitting on the side of a sidewalk with a paper in his hands .', ' A young person in black pants and a brown fedora uses their mobile device on a city sidewalk .', ' A man is sitting in the chain while texting .', ' A black man sitting on the ground with a beverage in front of him .', ' a man sits on a bench listing to his iPod']","[0.33544790744781494, 0.33341822028160095, 0.3329712450504303, 0.33010992407798767, 0.327027291059494]","A man in a white tank top and black cap is sitting on a sidewalk, looking at his phone.","A man in a white tank top and black cap is sitting on a sidewalk, looking at his phone.","Two men sitting on a ledge, one wearing a white tank top and the other wearing a black cap.","Two men sitting on a ledge, one wearing a white tank top and the other wearing a black cap."
4540109233.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4540109233.jpg,"[' Young people walk on the street outside of an apartment building called "" Love Story "" .', ' People wait on a mass transit platform while a train speeds by .', ' A crowd is portrayed near a metro station .', ' People waiting for a train .', ' People grabbing a train at the train station .']","[0.32383015751838684, 0.31577810645103455, 0.3114529550075531, 0.3091578483581543, 0.3064555525779724]",People are walking on a tiled floor under a covered walkway.,People are walking on a tiled floor under a covered walkway.,A group of people walking through a tunnel with trees visible through the openings.,A group of people walking through a tunnel with trees visible through the openings.
2279416167.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2279416167.jpg,"[' A baby sits on an empty beach under a big , blue sky .', ' A young child plays on a beach next to an empty chair .', ' A young child sits on a beach and plays with a sea creature .', ' An older , caucasian man puts a gray sock on his left foot while sitting in the sand .', ' A boy sitting and playing in the sand .']","[0.36790308356285095, 0.32056552171707153, 0.3169473707675934, 0.31227126717567444, 0.3114784359931946]","A baby sits on an empty beach under a big, blue sky.","A baby sits on an empty beach under a big, blue sky.",A boy playing in the sand on a beach.,A boy playing in the sand on a beach.
4062486051.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4062486051.jpg,"[' A Native American pow wow is being demonstrated to onlookers .', ' Dancers wearing American Indian costumes are dancing and giving a performance .', ' A native american stands at a microphone ready to play his instrument .', ' Native Americans in decorative dress appear to be celebrating for a cause .', ' Brightly dressed , feather headed wearing women competing on a stage in some sort of pagent .']","[0.33820897340774536, 0.3244176506996155, 0.3133600354194641, 0.30640316009521484, 0.3036986291408539]",A Native American pow wow is being demonstrated to onlookers.,A Native American pow wow is being demonstrated to onlookers.,A man in a Native American costume stands in front of a teepee.,A man in a Native American costume stands in front of a teepee.
3329961466.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3329961466.jpg,"[' Three men working concessions in front of a restaurant .', ' Two men and a woman standing behind brown one man band rolling appliances', ' Three men in t-shirts advertising hotdogs stand at a store counter .', ' Three men are standing over a grill outside .', ' Three guys r working with a big glass frame .']","[0.3329457938671112, 0.3129357099533081, 0.3116934895515442, 0.3064279854297638, 0.30460262298583984]",Three men in t-shirts advertising hotdogs stand at a counter.,Three men in t-shirts advertising hotdogs stand at a counter.,Three men are flexing their muscles in a kitchen.,Three men are flexing their muscles in a kitchen.
5068219705.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/5068219705.jpg,"[' Man in shorts putting air in the tire of his bike attached to the back of his car .', ' A bicyclist in a striped athletic outfit is leaning against a car and taking a drink .', ' A man with a ponytail is fixing a bike .', ' A man pumps up the tires in his bike before setting out to ride .', ' An older man in a suit locking his bike to a pole']","[0.35416164994239807, 0.3241540789604187, 0.3192793130874634, 0.31745055317878723, 0.3155133128166199]",A man in shorts is putting air in the tire of his bike.,A man in shorts is putting air in the tire of his bike.,A man in a white shirt and red shorts is fixing a bicycle on the street.,A man in a white shirt and red shorts is fixing a bicycle on the street.
2094076980.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2094076980.jpg,"[' Little girl jumping in water puddle', ' A little girl in pink and blue jumps over a puddle .', ' A woman wearing a red coat is jumping outdoors .', ' boy jumps through mud puddle .', ' A little girl finds joy in playing in a big , sloppy area of mud !']","[0.315093070268631, 0.31025949120521545, 0.300385445356369, 0.299991250038147, 0.29606547951698303]",A woman wearing a red coat is jumping outdoors.,A woman wearing a red coat is jumping outdoors.,A woman in a blue jacket and red hat stands on a puddle on a dirt road.,A woman in a blue jacket and red hat stands on a puddle on a dirt road.
3249278583.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3249278583.jpg,"[' A team of dogs pulling a sled .', ' a group of dogs pulling a sled through the snow .', ' A dog sled with two passengers travelling through the snow .', ' A dog sled races through the snow .', ' Dogs performing a sled race']","[0.3505716323852539, 0.3488514721393585, 0.3480380177497864, 0.33161646127700806, 0.331327885389328]",A dog sled races through the snow.,A dog sled races through the snow.,A group of people are riding on a team of dogs pulling a sled through the snow.,A group of people are riding on a team of dogs pulling a sled through the snow.
3197917064.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3197917064.jpg,"[' A white dog running on snow .', ' White dog playing in the snow .', ' The white dog looks happy running .', ' A tan dog runs through the snow .', ' A dog is running in the snow']","[0.34421437978744507, 0.34078922867774963, 0.33891165256500244, 0.33589667081832886, 0.33416667580604553]",A white dog runs through the snow with a stick in its mouth.,A white dog runs through the snow with a stick in its mouth.,A white dog with a blue collar is running through the snow carrying a stick in its mouth.,A white dog with a blue collar is running through the snow carrying a stick in its mouth.
2097398349.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2097398349.jpg,"[' A hiker is standing in before the mountain holding two walking sticks .', ' A hiker using hiking poles on a snowy mountain .', ' The mountain climber prepares to take a photo .', ' A mountain climber stops for a drink .', ' A person stands on the peaks of snow and ice .']","[0.33071887493133545, 0.33060285449028015, 0.30545955896377563, 0.29931381344795227, 0.2992222309112549]",A hiker is standing in before the mountain holding two walking sticks.,A hiker is standing in before the mountain holding two walking sticks.,A man stands in the snow with his arms raised in front of a mountain.,A man stands in the snow with his arms raised in front of a mountain.
4926723.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4926723.jpg,"[' The man is taking notes at the table .', ' A drawing artist sitting down to eat at a cafe after a long day of hard work .', ' A man working diligently while sitting at a table .', ' An Asian female writing on a note pad with an Asian male in the background .', ' A man with a green shirt on is working .']","[0.29769158363342285, 0.29327407479286194, 0.29243004322052, 0.28905659914016724, 0.285309761762619]",A man with a green shirt on is working.,A man with a green shirt on is working.,A man writing on a piece of paper with a Mickey Mouse mug beside him.,A man writing on a piece of paper with a Mickey Mouse mug beside him.
3748039603.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3748039603.jpg,"[' A young girl stops and looks at her newly won balloons .', ' Two men are selling a number of cute brightly colored balloons for children .', ' A young boy is reaching into a large cluster of different balloons .', ' Two vendors are on a curb selling balloons .', ' A man is with a boy wearing a balloon on his head .']","[0.2955903112888336, 0.2949937582015991, 0.2900681495666504, 0.27212077379226685, 0.27104833722114563]",A young boy is running with a bunch of balloons on his head.,A young boy is running with a bunch of balloons on his head.,A child carries a large stack of colorful balloons on his head.,A child carries a large stack of colorful balloons on his head.
4811455038.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4811455038.jpg,"[' A woman in a light green skirt is holding a black purse .', ' Woman in a white dress standing with a tennis racket and two people in green behind her .', ' A girl in a pink , green , blue and white dress and headband carrying a white bag across her right shoulder and another white bag in her left hand .', ' A girl is wear a green dress .', ' A lady in a black shirt and green skirt .']","[0.3116474449634552, 0.2973276674747467, 0.2968922257423401, 0.2951306998729706, 0.2849685549736023]",A woman in a light green top and white skirt is standing on a wet sidewalk.,A woman in a light green top and white skirt is standing on a wet sidewalk.,A woman in a green top and white skirt is standing on a wet sidewalk.,A woman in a green top and white skirt is standing on a wet sidewalk.
6848901011.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/6848901011.jpg,"[' A man wearing a black tank top and red plaid hat is smiling as a man behind him is playing with a colorful object .', ' A person in a newsboy getup pours a drink .', ' A man wearing a hat and glasses is playing an electric guitar .', ' A young man in a baseball cap plays an electric guitar .', ' A woman competing in a barista championship .']","[0.33704209327697754, 0.3298370838165283, 0.32465660572052, 0.3244076669216156, 0.32197052240371704]",A person in a newsboy getup pours a drink.,A person in a newsboy getup pours a drink.,A bartender is pouring a drink from a bottle into a glass.,A bartender is pouring a drink from a bottle into a glass.
316577571.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/316577571.jpg,"[' A black and white dog bounds through a field .', ' A black and white dog is running over grass .', ' A black and white dog is running through the field .', ' A black and white dog is running in the grass .', ' A large white and black dog is running very fast through the grass .']","[0.3234354257583618, 0.31795984506607056, 0.31233862042427063, 0.3114427924156189, 0.3114270567893982]",A large white and black dog is running very fast through the grass.,A large white and black dog is running very fast through the grass.,Two dogs running in a grassy field with one dog in the foreground and the other in the background.,Two dogs running in a grassy field with one dog in the foreground and the other in the background.
2394003437.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2394003437.jpg,"[' A boy in a green shirt and blue jeans riding a segway .', ' A boy on a scooter .', ' An over weight man wearing overalls and a helmet rides down the sidewalk on his Segway .', ' Someone is letting the little boy stand up .', ' A young man is standing while riding his motorized bike .']","[0.33062130212783813, 0.3025150001049042, 0.27885234355926514, 0.2765159606933594, 0.2747989892959595]",A boy in a green shirt and blue jeans rides a Segway.,A boy in a green shirt and blue jeans rides a Segway.,A young boy in a green shirt is riding a Segway in a crowded square.,A young boy in a green shirt is riding a Segway in a crowded square.
45935254.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/45935254.jpg,"[' A boy with a red shirt climbs a large rock while a man with a red shirt helps him .', ' a climber in a red shirt is scaling a rock face whilst being watched by another man in a white shirt .', ' A kid climbing the rock on an adventure .', ' A man in a headband climbing a rock .', ' Men try to climb up a large rock .']","[0.3697640597820282, 0.366180956363678, 0.3443474769592285, 0.3403070569038391, 0.33838552236557007]",A boy with a red shirt climbs a large rock while a man with a red shirt helps him.,A boy with a red shirt climbs a large rock while a man with a red shirt helps him.,Two men climbing a rocky cliff on a sunny day.,Two men climbing a rocky cliff on a sunny day.
4892334228.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4892334228.jpg,"[' An Asian girl performs a routine with two red flags in a square .', ' A dark-skinned man in front of a vibrant red , black and white background .', ' A couple enjoys themselves in front of a red curtain .', ' A girl bouncing on a colorful sheet .', ' A girl in white pants is walking by a brightly painted wall .']","[0.34736478328704834, 0.3318386673927307, 0.328193336725235, 0.32481104135513306, 0.32358089089393616]",An Asian girl performs a routine with two red flags in a square.,An Asian girl performs a routine with two red flags in a square.,A woman in a white shirt is standing in front of a red and white wall.,A woman in a white shirt is standing in front of a red and white wall.
4115212373.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4115212373.jpg,"[' Demonstrators with Muslim flags and a sign reading "" Israel is a Terrorism Creation "" stand in the street .', ' Observers behind a metal street barrier , watching a car race as the cars go speeding by .', ' Two men and a boy perform a street show for the tourists passing by .', ' One man doing stunts while onlookers watch him .', ' street performers putting on a show .']","[0.26659029722213745, 0.2648424208164215, 0.2635291814804077, 0.2614799737930298, 0.26122167706489563]",A man holding a flag in the street.,A man holding a flag in the street.,A man holding a flag in the street.,A man holding a flag in the street.
7102120965.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7102120965.jpg,"[' Two people compete in a wheelchair race on a city street .', ' A professional wheelchair race with a clear leader in lane 6 .', ' Three athletes compete on 3 wheeled conveyances .', ' A bike racer races down the pavement .', ' Two people competing in a motocross event using a trike .']","[0.3678169548511505, 0.3574785888195038, 0.3157687783241272, 0.3138674199581146, 0.3068179488182068]",Two people compete in a wheelchair race on a city street.,Two people compete in a wheelchair race on a city street.,Two people in wheelchairs racing on a track with spectators watching.,Two people in wheelchairs racing on a track with spectators watching.
4587901777.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4587901777.jpg,"[' A group of men sit in a circle on a rooftop .', ' A band playing outside a Zune building .', ' Hanging out waiting for friends .', ' A few people are sitting around having a drinks .', ' Guys and girls in a cramped place with drinks in hand .']","[0.33539000153541565, 0.3267275393009186, 0.32409459352493286, 0.31224507093429565, 0.31109365820884705]",A group of people sitting around a table on a rooftop.,A group of people sitting around a table on a rooftop.,A group of people sitting around a table on a rooftop.,A group of people sitting around a table on a rooftop.
2737097000.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2737097000.jpg,"[' Bystanders rest on nearby poles .', ' People helping a person in black shorts and red top who is hurt .', ' Two men are examining a bicycle tire while a woman in the background leans on a wall next to a pot of geraniums .', ' A curly-haired man in a blue t-shirt is fixing his red bicycle , which is upside down on the sidewalk , with a friend wearing a black watch .', ' City crew workers are painting signs on the road .']","[0.32594823837280273, 0.31456074118614197, 0.3059557378292084, 0.3043980002403259, 0.29816052317619324]",A man in a green shirt and black shorts is holding a tire while two other people work on a pole.,A man in a green shirt and black shorts is holding a tire while two other people work on a pole.,Three people are working on a flower bed in a city park.,Three people are working on a flower bed in a city park.
3162442331.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3162442331.jpg,"[' A woman dressed as a princess rides an elephant carnival ride .', ' They are having a stirring conversation amongst nature .', ' This lady looks mad while eating her meal .', ' Three men seated on an elephant in a small village .', ' Two young children are sitting atop an elephant that is eating greens and standing in front a platform with man dressed in a white shirt standing off to the side .']","[0.2458530068397522, 0.2403496950864792, 0.23910395801067352, 0.2372317761182785, 0.236691415309906]",An elephant with a colorful cloth draped over its back is holding some vegetation in its trunk.,An elephant with a colorful cloth draped over its back is holding some vegetation in its trunk.,An elephant with a colorful cloth draped over its back is walking on a brick path.,An elephant with a colorful cloth draped over its back is walking on a brick path.
4455065396.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4455065396.jpg,"[' A baby in campflauge crawls on a clean hardwood floor .', ' A young child in long-sleeved shirt and underwear is tugging at his waistband while looking down toward the hardwood floor .', ' A child laying on the floor .', ' We see the back of a white , young boy playing with a toy on a wood table against the wall .', ' A young boy stands on a wide floor with his mouth open .']","[0.3609323799610138, 0.3588045835494995, 0.34582075476646423, 0.33991095423698425, 0.33196327090263367]",A young child in long-sleeved shirt and underwear is tugging at his waistband while,A young child in long-sleeved shirt and underwear is tugging at his waistband while,A child is crawling on a wooden floor in a room with white walls and windows.,A child is crawling on a wooden floor in a room with white walls and windows.
1874617189.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1874617189.jpg,"[' Several beachgoers are reclining near upside-down boats .', ' Three construction workers are sitting around a fenced in area reading next to a sand castle .', ' Many people are spread out along a beach or lagoon enjoying themselves .', ' A man wearing a white shirt and black pants with a white hat on watching seagulls on the sand with two children , both wearing hats and one wearing a red shirt and one wearing a sundress .', ' Three boys in swimming trunks are diving into the lake .']","[0.3270382583141327, 0.29695823788642883, 0.29565688967704773, 0.29299649596214294, 0.292441189289093]",Three children are sitting on the beach with their backs to the camera.,Three children are sitting on the beach with their backs to the camera.,Three children playing in the sand at a beach with a boat and trees in the background.,Three children playing in the sand at a beach with a boat and trees in the background.
